"Name","Commit","Created","Runtime","GitHub","End Time","Hostname","Notes","GPU Type","GPU Count","State","Updated","val_batch_size","Tags","adam_beta2","adam_weight_decay","learning_rate","lr_warmup_steps","max_train_steps","output_dir","train_data_dir","val_data_dir","validation_prompts","avg_train_loss_per_epoch","avg_valid_loss_per_epoch","training_step_loss"
"audiocaps-full-lora-sd1_5-lr7e4-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-21T22:31:51.000Z","466615","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-27T08:08:46.000Z","panda.doc.ic.ac.uk","-","NVIDIA TITAN RTX","3","finished","2023-08-27T08:08:46.000Z","1","","0.999","0.01","0.0007","125000","752000","./model/sd_ex/lora/out/08-21/0.0007_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.1261107933077328","0.11758823497842104","0.013238341547548773"
"audiocaps-full-lora-sd1_5-lr1e3-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-22T13:20:45.000Z","249081","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-25T10:32:06.000Z","springroll.doc.ic.ac.uk","-","NVIDIA GeForce RTX 2080 Ti","4","finished","2023-08-25T10:32:06.000Z","1","","0.999","0.01","0.001","125000","752000","./model/sd_ex/lora/out/08-22/0.001_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.12591311252922738","0.13314547462335624","0.47895199060440063"
"audiocaps-full-lora-sd1_5-lr3e4-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-21T22:30:54.000Z","225750","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-24T13:13:24.000Z","springroll.doc.ic.ac.uk","-","NVIDIA GeForce RTX 2080 Ti","4","finished","2023-08-24T13:13:24.000Z","1","","0.999","0.01","0.0003","125000","752000","./model/sd_ex/lora/out/08-21/0.0003_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.12599640354434977","0.1332574447133002","0.477705180644989"
"audiocaps-full-lora-sd1_5-lr1e4-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-21T22:30:54.000Z","218184","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-24T11:07:18.000Z","springroll.doc.ic.ac.uk","-","NVIDIA GeForce RTX 2080 Ti","4","finished","2023-08-24T11:07:18.000Z","1","","0.999","0.01","0.0001","125000","752000","./model/sd_ex/lora/out/08-21/0.0001_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.12623386948247595","0.1334933881724103","0.4782668948173523"
"audiocaps-full-lora-sd1_5-lr3e3-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-21T22:30:54.000Z","201594","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-24T06:30:48.000Z","springroll.doc.ic.ac.uk","-","NVIDIA GeForce RTX 2080 Ti","4","finished","2023-08-24T06:30:48.000Z","1","","0.999","0.01","0.003","125000","752000","./model/sd_ex/lora/out/08-21/0.003_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.1266241449870645","0.13372121402845538","0.4788966476917267"
"audiocaps-full-lora-sd1_5-lr5e4-25epochs+20%warmup","323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-21T22:31:51.000Z","163988","https://github.com/codingperks/sdspeech/tree/323af37c0017d95f2cde4219d9d651547ae511a8","2023-08-23T20:04:59.000Z","panda.doc.ic.ac.uk","-","NVIDIA TITAN RTX","3","finished","2023-08-23T20:04:59.000Z","1","","0.999","0.01","0.0005","125000","752000","./model/sd_ex/lora/out/08-21/0.0005_752000steps_125000warmup","./data/audiocaps/dataset_full/train","./data/audiocaps/dataset_full/val","[""a spectrogram of An animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background"", ""a spectrogram of Music plays and someone speaks before gunfire and an explosion occurs"", ""a spectrogram of Someone is typing on a computer keyboard"", ""a spectrogram of A horn honking followed by a man laughing then talking and plastic clanking on a hard surface"", ""a spectrogram of A dog barking"", ""a spectrogram of A train horn"", ""a spectrogram of bird song"", ""a spectrogram of birds chirping"", ""a spectrogram of a snare drum""]","0.12758540898529525","0.14396377695299423","0.4429744482040405"
